name,crunchlink,category,country,state,city,round,date,year,money,
AeroSat Corporation,/organization/aerosat-corporation,Web Hosting,USA,NH,Amherst,C,2008-04-09,2008,"14,000,000"
AeroScout,/organization/aeroscout,Wireless,USA,CA,Redwood City,D,2008-04-15,2008,"12,000,000"
AeroScout,/organization/aeroscout,Wireless,USA,CA,Redwood City,E,2010-11-04,2010,"16,000,000"
Aerospike,/organization/aerospike,Real Time,USA,CA,Mountain View,A,2011-03-30,2011,"2,000,000"
Aerospike,/organization/aerospike,Real Time,USA,CA,Mountain View,C,2014-06-24,2014,"20,000,000"
Aerovance,/organization/aerovance,Biotechnology,USA,CA,Lucerne Valley,C,2007-03-28,2007,"60,000,000"
Aerovance,/organization/aerovance,Biotechnology,USA,CA,Lucerne Valley,venture,2009-04-07,2009,"38,000,000"
Aerovance,/organization/aerovance,Biotechnology,USA,CA,Lucerne Valley,venture,2011-03-21,2011,"500,000"
Aerpio Therapeutics,/organization/aerpio-therapeutics,Biotechnology,USA,OH,Cincinnati,A,2012-08-30,2012,"27,000,000"
Aerpio Therapeutics,/organization/aerpio-therapeutics,Biotechnology,USA,OH,Cincinnati,venture,2012-01-05,2012,"5,000,000"
Aerpio Therapeutics,/organization/aerpio-therapeutics,Biotechnology,USA,OH,Cincinnati,A,2013-11-06,2013,"9,000,000"
Aerpio Therapeutics,/organization/aerpio-therapeutics,Biotechnology,USA,OH,Cincinnati,venture,2014-04-23,2014,"22,000,000"
AET Hosting Solutions,/organization/aet-hosting-solutions,Small and Medium Businesses,USA,DC,Washington,seed,2014-10-18,2014,"3,000,000"
AetherPal,/organization/aetherpal,Mobile,USA,NJ,South Plainfield,A,2013-11-04,2013,"6,000,000"
Aethlon Medical,/organization/aethlon-medical,Health Care,USA,CA,San Diego,venture,2010-09-16,2010,"650,000"
Aethlon Medical,/organization/aethlon-medical,Health Care,USA,CA,San Diego,venture,2013-10-11,2013,"2,037,834"
Aethlon Medical,/organization/aethlon-medical,Health Care,USA,CA,San Diego,venture,2014-01-09,2014,"1,795,900"
Aethlon Medical,/organization/aethlon-medical,Health Care,USA,CA,San Diego,venture,2014-12-15,2014,"3,300,000"
Aetho,/organization/aetho,Robotics,USA,CA,San Francisco,venture,2015-03-03,2015,"150,000"
Aethon,/organization/aethon,Health Care,USA,PA,Pittsburgh,venture,2010-11-30,2010,"2,000,000"
Aethon,/organization/aethon,Health Care,USA,PA,Pittsburgh,A,2010-04-06,2010,"6,625,977"
Aethon,/organization/aethon,Health Care,USA,PA,Pittsburgh,venture,2011-07-26,2011,"1,736,390"
Aethon,/organization/aethon,Health Care,USA,PA,Pittsburgh,B,2012-04-12,2012,"6,981,137"
Aethon,/organization/aethon,Health Care,USA,PA,Pittsburgh,C,2014-01-09,2014,"3,077,288"
AFAR,/organization/afar,Travel,USA,CA,San Francisco,A,2009-01-01,2009,"16,000,000"
Affectiva,/organization/affectiva,Analytics,USA,MA,Waltham,A,2010-02-01,2010,"1,999,999"
Affectiva,/organization/affectiva,Analytics,USA,MA,Waltham,B,2011-07-19,2011,"5,725,000"
Affectiva,/organization/affectiva,Analytics,USA,MA,Waltham,C,2012-08-07,2012,"12,000,000"
Afferent Pharmaceuticals,/organization/afferent-pharmaceuticals,Biotechnology,USA,CA,San Mateo,A,2009-12-16,2009,"23,000,000"
Afferent Pharmaceuticals,/organization/afferent-pharmaceuticals,Biotechnology,USA,CA,San Mateo,venture,2012-01-01,2012,"5,000,000"
Afferent Pharmaceuticals,/organization/afferent-pharmaceuticals,Biotechnology,USA,CA,San Mateo,venture,2013-04-01,2013,"5,000,000"
Affinegy,/organization/affinegy,Internet,USA,TX,Austin,A,2013-11-14,2013,"300,000"
Affinergy,/organization/affinergy,Biotechnology,USA,NC,Durham,B,2006-03-08,2006,"3,000,000"
Affinimark Technologies,/organization/affinimark-technologies,Biotechnology,USA,CT,New Haven,venture,2010-10-13,2010,"1,359,394"
Affinion Group,/organization/affinion-group,Advertising,USA,CT,Stamford,venture,2013-11-04,2013,"1,500,000"
Affinity,/organization/affinity-com,Advertising,USA,IL,Illinois City,venture,1999-10-01,1999,"60,000,000"
Affinity,/organization/affinity-com,Advertising,USA,IL,Illinois City,venture,2002-01-01,2002,"25,000,000"
Affinity Circles,/organization/affinitycircles,Software,USA,CA,Sunnyvale,A,2004-12-01,2004,"440,000"
Affinity Circles,/organization/affinitycircles,Software,USA,CA,Sunnyvale,B,2005-06-01,2005,"1,000,000"
Affinity Circles,/organization/affinitycircles,Software,USA,CA,Sunnyvale,C,2006-05-01,2006,"4,100,000"
Affinity Edge,/organization/affinity-edge,Services,USA,CA,Los Gatos,venture,2013-10-18,2013,"1,574,996"
Affinity Networks,/organization/affinity-networks,Social Media,USA,CA,Venice,seed,2014-01-06,2014,"200,000"
Affinity Solutions,/organization/affinity-solutions,Finance,USA,NY,New York,venture,2012-06-27,2012,"14,500,000"
Affinity Solutions,/organization/affinity-solutions,Finance,USA,NY,New York,venture,2013-06-10,2013,"21,000,000"
Affinity Systems,/organization/affinity-systems,Software,CAN,ON,Toronto,seed,2013-09-27,2013,"151,525"
Affinity.is,/organization/affinity-is,Advertising,USA,WA,Kirkland,seed,2014-04-22,2014,"1,500,000"
AffinityClick,/organization/affinityclick,Blogging Platforms,CAN,QC,Gatineau,seed,2009-06-01,2009,"184,711"
AffinityClick,/organization/affinityclick,Blogging Platforms,CAN,QC,Gatineau,A,2010-12-20,2010,"888,577"
Affinium Pharmaceuticals,/organization/affinium-pharmaceuticals,Biotechnology,USA,TX,Austin,venture,2010-05-21,2010,"18,000,000"
Affinium Pharmaceuticals,/organization/affinium-pharmaceuticals,Biotechnology,USA,TX,Austin,B,2011-08-29,2011,"15,000,000"
Affirm,/organization/affirm,Payments,USA,CA,San Francisco,venture,2014-06-09,2014,"45,000,000"
Affirmed Networks,/organization/affirmed-networks,Mobile,USA,MA,Acton,A,2010-06-18,2010,"10,890,000"
Affirmed Networks,/organization/affirmed-networks,Mobile,USA,MA,Acton,venture,2011-01-04,2011,"1,700,000"
Affirmed Networks,/organization/affirmed-networks,Mobile,USA,MA,Acton,venture,2011-08-11,2011,"1,400,000"
Affirmed Networks,/organization/affirmed-networks,Mobile,USA,MA,Acton,B,2012-11-12,2012,"52,000,000"
Affirmed Networks,/organization/affirmed-networks,Mobile,USA,MA,Acton,C,2013-06-05,2013,"51,000,000"
Affomix Corporation,/organization/affomix-corporation,Biotechnology,USA,CT,Branford,A,2008-02-22,2008,"7,000,000"
Affordit.com,/organization/affordit-com,E-Commerce,USA,OH,Powell,seed,2009-12-16,2009,"600,000"
Affymax,/organization/affymax,Biotechnology,USA,CA,Palo Alto,venture,2009-03-03,2009,"41,999,999"
Afinity Life Sciences,/organization/afinity-life-sciences,Biotechnology,CAN,AB,Edmonton,seed,2013-09-10,2013,"1,500,000"
AFINOS,/organization/afinos,Mobile,USA,NY,New York,venture,2014-01-01,2014,"1,500,000"
Afoundria,/organization/afoundria,Software,USA,TX,Austin,venture,2013-11-26,2013,"325,999"
Aframe,/organization/aframe,Cloud Data Services,USA,MA,Burlington,angel,2009-10-01,2009,"850,000"
Aframe,/organization/aframe,Cloud Data Services,USA,MA,Burlington,angel,2010-11-01,2010,"2,000,000"
Aframe,/organization/aframe,Cloud Data Services,USA,MA,Burlington,A,2012-04-03,2012,"7,000,000"
Afraxis,/organization/afraxis,Ediscovery,USA,CA,La Jolla,venture,2010-05-13,2010,"1,200,000"
AFS Technologies,/organization/afs-technology,Enterprise Software,USA,AZ,Phoenix,venture,2006-03-31,2006,"5,000,000"
AFS Technologies,/organization/afs-technology,Enterprise Software,USA,AZ,Phoenix,venture,2007-10-01,2007,"5,200,000"
AFTER-MOUSE,/organization/after-mouse,Software,USA,NY,New York,seed,2014-04-24,2014,"100,000"
afterBOT,/organization/afterbot,Software,USA,GA,Norcross,venture,2009-04-23,2009,"1,570,000"
Aftercad Software,/organization/aftercad-software,SaaS,CAN,BC,Vancouver,A,2007-10-01,2007,"1,107,000"
agÃ¡mi Systems,/organization/agmi-systems,Hardware + Software,USA,CA,Sunnyvale,C,2007-11-21,2007,"50,000,000"
Agari,/organization/agari-data,Security,USA,CA,San Mateo,seed,2009-01-01,2009,"200,000"
Agari,/organization/agari-data,Security,USA,CA,San Mateo,A,2011-11-02,2011,"2,500,000"
Agari,/organization/agari-data,Security,USA,CA,San Mateo,B,2013-02-25,2013,"5,000,000"
Agari,/organization/agari-data,Security,USA,CA,San Mateo,C,2014-09-23,2014,"15,000,000"
AgBiome,/organization/agbiome,Biotechnology,USA,NC,Raleigh,A,2013-04-11,2013,"17,500,000"
AGC,/organization/agc,Project Management,USA,CA,San Francisco,seed,2008-12-06,2008,"1,000,000"
AgeCheq / PrivacyCheq,/organization/agecheq,Privacy,USA,PA,York Haven,A,2014-02-11,2014,"1,000,000"
AGEIA Technologies,/organization/ageia-technologies,Games,USA,CA,Santa Clara,C,2005-10-03,2005,"27,500,000"
Agency for Student Health Research,/organization/agency-for-student-health-research,Analytics,USA,CA,San Diego,seed,2014-05-01,2014,"350,000"
Agency Systems,/organization/agency-system,Software,USA,CA,Pasadena,venture,2009-10-31,2009,"1,890,000"
Agencyport Software,/organization/agencyport,Software,USA,MA,Boston,venture,2011-12-02,2011,"1,171,300"
agencyQ,/organization/agencyq,Advertising,USA,DC,Washington,venture,2011-09-07,2011,"1,600,000"
Agendize,/organization/agendize,Chat,CAN,QC,Montréal,A,2006-04-03,2006,"1,809,450"
Agendize,/organization/agendize,Chat,CAN,QC,Montréal,B,2009-09-21,2009,"1,300,000"
AgeneBio,/organization/agenebio,Biotechnology,USA,IN,Carmel,venture,2013-06-04,2013,"1,000,000"
AgeneBio,/organization/agenebio,Biotechnology,USA,IN,Carmel,venture,2013-11-18,2013,"1,000,113"
AgeneBio,/organization/agenebio,Biotechnology,USA,IN,Carmel,venture,2014-10-17,2014,"4,113,127"
Agensys,/organization/agensys,Biotechnology,USA,CA,Santa Monica,D,2007-07-12,2007,"41,300,000"
Agent Ace,/organization/agent-ace,SaaS,USA,CA,Santa Monica,A,2014-08-11,2014,"6,000,000"
AgentBridge,/organization/agentbridge,Real Estate,USA,CA,Rolling Hills Estates,seed,2014-01-22,2014,"250,000"
Agentek,/organization/agentek,Mobile,USA,GA,Alpharetta,A,2008-03-26,2008,"8,000,000"
Agentek,/organization/agentek,Mobile,USA,GA,Alpharetta,venture,2010-07-01,2010,"1,000,000"
Agenus,/organization/agenus,Biotechnology,USA,MA,Lexington,venture,2009-08-04,2009,"10,000,000"
Agenus,/organization/agenus,Biotechnology,USA,MA,Lexington,venture,2015-03-11,2015,"35,000,000"
Aggredyne,/organization/aggredyne,Biotechnology,USA,TX,Houston,A,2012-04-23,2012,"3,000,000"
Aggregage,/organization/aggregage,Internet,USA,CA,El Segundo,seed,2014-11-05,2014,"1,000,000"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,seed,2005-01-01,2005,"500,000"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,A,2006-06-01,2006,"5,000,000"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,B,2007-04-01,2007,"20,000,000"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,C,2010-01-06,2010,"9,000,000"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,D,2011-07-01,2011,"14,566,285"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,venture,2013-04-01,2013,"3,266,100"
Aggregate Knowledge,/organization/aggregateknowledge,Advertising,USA,CA,San Mateo,E,2013-02-27,2013,"11,392,065"
Agile Energy,/organization/agile-energy,Clean Technology,USA,CA,San Bruno,venture,2010-01-05,2010,"2,040,000"
Agile Energy,/organization/agile-energy,Clean Technology,USA,CA,San Bruno,venture,2011-06-09,2011,"24,000,000"
Agile Health,/organization/agile-health,Health and Wellness,USA,TN,Nashville,seed,2012-08-23,2012,"2,000,000"
Agile Networks,/organization/agile-networks,Telecommunications,USA,OH,Canton,venture,2014-10-10,2014,"1,693,138"
Agile Sciences,/organization/agile-sciences,Biotechnology,USA,NC,Raleigh,venture,2007-11-12,2007,"1,308,642"
Agile Systems,/organization/agile-systems,Hardware + Software,CAN,ON,Waterloo,venture,2005-05-12,2005,"7,000,000"
Agile Therapeutics,/organization/agile-therapeutics,Biotechnology,USA,NJ,Princeton,A,2010-01-12,2010,"1,010,822"
Agile Therapeutics,/organization/agile-therapeutics,Biotechnology,USA,NJ,Princeton,A,2010-05-05,2010,"1,005,000"
Agile Therapeutics,/organization/agile-therapeutics,Biotechnology,USA,NJ,Princeton,B,2010-06-14,2010,"45,000,000"
Agile Therapeutics,/organization/agile-therapeutics,Biotechnology,USA,NJ,Princeton,C,2012-07-19,2012,"40,000,000"
AgileCraft,/organization/agilecraft,Information Technology,USA,TX,Georgetown,A,2015-02-19,2015,"10,100,000"
AgileMD,/organization/agilemd,Health Care,USA,CA,San Francisco,seed,2012-06-14,2012,"2,000,000"
AgileMesh,/organization/agilemesh,Security,USA,TX,Richardson,venture,2010-04-30,2010,"2,000,000"
AgileNano,/organization/agilenano,Biotechnology,USA,CA,San Diego,venture,2011-02-01,2011,"272,500"
Agilence,/organization/agilence,Security,USA,NJ,Mount Laurel,B,2008-11-18,2008,"4,000,000"
Agilence,/organization/agilence,Security,USA,NJ,Mount Laurel,B,2009-12-08,2009,"2,000,000"
Agilence,/organization/agilence,Security,USA,NJ,Mount Laurel,C,2012-05-11,2012,"4,227,468"
Agilence,/organization/agilence,Security,USA,NJ,Mount Laurel,venture,2015-03-11,2015,"4,300,000"
Agiliance,/organization/agiliance,Security,USA,CA,Sunnyvale,A,2005-08-23,2005,"3,000,000"
Agiliance,/organization/agiliance,Security,USA,CA,Sunnyvale,B,2008-07-01,2008,"10,000,000"
Agiliance,/organization/agiliance,Security,USA,CA,Sunnyvale,venture,2012-10-01,2012,"500,000"
Agiliance,/organization/agiliance,Security,USA,CA,Sunnyvale,venture,2014-05-13,2014,"5,000,000"
Agilis Biotherapeutics,/organization/agilis-biotherapeutics,Biotechnology,USA,NY,New York,A,2014-01-01,2014,"8,000,000"
Agilis Systems,/organization/agilis-systems,Gps,USA,MO,St Louis,B,2008-05-16,2008,"5,000,000"
Agility Communications,/organization/agility-communications,Manufacturing,USA,CA,Santa Barbara,E,2005-03-09,2005,"15,000,000"
Agility Design Solutions,/organization/agility-design-solutions,Software,USA,CA,Palo Alto,B,2005-12-06,2005,"7,000,000"
AgilOne,/organization/agilone,SaaS,USA,CA,Mountain View,A,2011-01-01,2011,"6,000,000"
AgilOne,/organization/agilone,SaaS,USA,CA,Mountain View,B,2012-11-28,2012,"10,000,000"
AgilOne,/organization/agilone,SaaS,USA,CA,Mountain View,C,2014-04-15,2014,"25,000,016"
Agilum Healthcare Intelligence,/organization/agilum-healthcare-intelligence,Software,USA,TN,Franklin,seed,2012-09-01,2012,"1,500,000"
Agilum Healthcare Intelligence,/organization/agilum-healthcare-intelligence,Software,USA,TN,Franklin,seed,2013-06-01,2013,"250,000"
Agilum Healthcare Intelligence,/organization/agilum-healthcare-intelligence,Software,USA,TN,Franklin,seed,2013-06-01,2013,"1,000,000"
Agilum Healthcare Intelligence,/organization/agilum-healthcare-intelligence,Software,USA,TN,Franklin,venture,2014-05-20,2014,"2,350,000"
Agilvax,/organization/agilvax,Medical,USA,NM,Albuquerque,venture,2014-06-12,2014,"1,150,000"
Agilvax,/organization/agilvax,Medical,USA,NM,Albuquerque,A,2014-07-31,2014,"2,000,000"
Agily Networks,/organization/agily-networks,Web Hosting,USA,CA,San Jose,angel,2007-04-24,2007,"250,000"
Agilyx,/organization/agilyx,Clean Technology,USA,OR,Beaverton,venture,2009-04-30,2009,"3,250,000"
Agilyx,/organization/agilyx,Clean Technology,USA,OR,Beaverton,C,2011-12-19,2011,"25,000,000"
Agilyx,/organization/agilyx,Clean Technology,USA,OR,Beaverton,B,2011-03-31,2011,"22,000,000"
AgInfoLink,/organization/aginfolink,Software,USA,CO,Longmont,B,2009-06-26,2009,"5,680,000"
AgInfoLink,/organization/aginfolink,Software,USA,CO,Longmont,C,2011-03-22,2011,"5,245,000"
Aginity,/organization/aginity,Marketing Automation,USA,IL,Evanston,A,2015-01-07,2015,"1,500,000"
Aginova,/organization/aginova,Hardware + Software,USA,OH,Middletown,angel,2010-01-01,2010,"500,000"
Agios Pharmaceuticals,/organization/agios-pharmaceuticals,Biotechnology,USA,MA,Cambridge,venture,2010-04-26,2010,"8,823,937"
Agios Pharmaceuticals,/organization/agios-pharmaceuticals,Biotechnology,USA,MA,Cambridge,C,2011-11-17,2011,"78,000,000"
Agistics,/organization/agistics,Enterprise Software,USA,CA,Pleasanton,A,2005-11-10,2005,"2,000,000"
Agistix,/organization/agistix,Software,USA,CA,Redwood City,angel,2008-08-25,2008,"2,000,000"
Agitar,/organization/agitar,Enterprise Software,USA,RI,Cranston,C,2006-01-17,2006,"10,000,000"
Agito Networks,/organization/agito-networks,Enterprise Software,USA,CA,Santa Clara,venture,2007-10-15,2007,"9,000,000"
Agito Networks,/organization/agito-networks,Enterprise Software,USA,CA,Santa Clara,B,2009-04-10,2009,"13,000,000"
AGlobal Tech,/organization/aglobal-tech,Consulting,USA,NV,Las Vegas,venture,2009-08-10,2009,"1,400,000"
AgLocal,/organization/aglocal,Mobile,USA,KS,Mission,venture,2012-06-29,2012,"1,000,000"
AgLocal,/organization/aglocal,Mobile,USA,KS,Mission,seed,2012-05-02,2012,"1,500,000"
AgLocal,/organization/aglocal,Mobile,USA,KS,Mission,venture,2014-04-24,2014,"1,300,000"
AGM Automotive,/organization/agm-automotive,Services,USA,MI,Troy,venture,2014-04-30,2014,"12,500,000"
Agnitus,/organization/agnitus,Education,USA,CA,San Francisco,A,2012-10-01,2012,"3,500,000"
Agora Mobile,/organization/agora-mobile,Software,CAN,ON,Moncton,venture,2014-03-31,2014,"1,000,000"
Agoura Technologies,/organization/agoura-technologies,Nanotechnology,USA,CA,Roseville,A,2005-09-13,2005,"1,000,000"
Agradis,/organization/agradis,Biotechnology,USA,CA,La Jolla,venture,2011-08-05,2011,"20,000,000"
Agradis,/organization/agradis,Biotechnology,USA,CA,La Jolla,venture,2012-01-18,2012,"4,000,000"
AgraQuest,/organization/agraquest,Biotechnology,USA,CA,Davis,venture,2007-12-04,2007,"20,000,000"
AgraQuest,/organization/agraquest,Biotechnology,USA,CA,Davis,venture,2011-03-21,2011,"17,700,000"
Agrible,/organization/agrible,Information Services,USA,IL,Champaign,seed,2014-05-29,2014,"100,000"
Agrible,/organization/agrible,Information Services,USA,IL,Champaign,seed,2014-04-23,2014,"150,000"
Agricare,/organization/agricare,Farming,USA,IL,Chicago,venture,2014-10-31,2014,"2,000,000"
Agrilicious.com,/organization/agrilicious-org,Curated Web,USA,WA,Bothell,seed,2014-05-01,2014,"500,000"
Agrisoma Biosciences,/organization/agrisoma-biosciences,Biotechnology,CAN,BC,North Vancouver,venture,2009-01-02,2009,"2,320,000"
Agrivida,/organization/agrivida,Biotechnology,USA,MA,Cambridge,venture,2011-06-13,2011,"2,000,000"
Agrivida,/organization/agrivida,Biotechnology,USA,MA,Cambridge,C,2012-09-12,2012,"15,000,000"
Agrivida,/organization/agrivida,Biotechnology,USA,MA,Cambridge,D,2015-01-05,2015,"12,348,733"
Agronomic Technology Corp,/organization/agronomic-technology,Software,USA,NY,New York,A,2014-10-08,2014,"2,200,000"
Agronomic Technology Corp,/organization/agronomic-technology,Software,USA,NY,New York,seed,2014-01-13,2014,"250,000"
AgSquared,/organization/agsquared,Enterprise Software,USA,DC,Washington,seed,2014-01-02,2014,"1,200,000"
Aha Mobile,/organization/aha-mobile,Mobile,USA,CA,Palo Alto,A,2008-06-09,2008,"3,000,000"
AHAlife.com,/organization/ahalife,E-Commerce,USA,NY,New York,B,2012-04-26,2012,"10,100,000"
AHAlife.com,/organization/ahalife,E-Commerce,USA,NY,New York,venture,2013-03-09,2013,"2,250,000"
AHAlife.com,/organization/ahalife,E-Commerce,USA,NY,New York,seed,2013-01-31,2013,"3,649,079"
AHAlife.com,/organization/ahalife,E-Commerce,USA,NY,New York,venture,2014-01-07,2014,"1,000,000"
Ahalogy,/organization/ahalogy,Social Bookmarking,USA,OH,Cincinnati,seed,2012-10-01,2012,"250,000"
Ahalogy,/organization/ahalogy,Social Bookmarking,USA,OH,Cincinnati,seed,2013-05-20,2013,"800,000"
Ahalogy,/organization/ahalogy,Social Bookmarking,USA,OH,Cincinnati,seed,2013-02-01,2013,"600,000"
Ahalogy,/organization/ahalogy,Social Bookmarking,USA,OH,Cincinnati,A,2014-01-21,2014,"3,100,000"
AHS PharmStat,/organization/ahs-pharmstat,Staffing Firms,USA,OK,Edmond,venture,2010-05-06,2010,"900,000"
Ahura Scientific,/organization/ahura-scientific,Biotechnology,USA,ME,Limington,B,2005-01-19,2005,"10,000,000"
Ahura Scientific,/organization/ahura-scientific,Biotechnology,USA,ME,Limington,B,2007-03-09,2007,"7,000,000"
AI Exchange,/organization/ai-exchange,Finance,USA,MA,Boston,venture,2011-09-13,2011,"1,500,000"
Aicent,/organization/aicent,Mobile,USA,CA,San Jose,C,2007-03-14,2007,"14,300,000"
Aicent,/organization/aicent,Mobile,USA,CA,San Jose,D,2008-09-03,2008,"3,000,000"
Aidhenscorner,/organization/aidhenscorner,Kids,USA,IL,Chicago,seed,2014-08-22,2014,"300,000"
Aidin,/organization/aidin,Software,USA,NY,New York,venture,2012-06-16,2012,"600,000"
AIKO Biotechnology,/organization/aiko-biotechnology,Biotechnology,USA,ME,Portland,venture,2009-11-05,2009,"850,000"
Aileron Therapeutics,/organization/aileron-therapeutics,Biotechnology,USA,MA,Hardwick,A,2006-12-01,2006,"7,000,000"
Aileron Therapeutics,/organization/aileron-therapeutics,Biotechnology,USA,MA,Hardwick,B,2008-04-15,2008,"10,500,000"
Aileron Therapeutics,/organization/aileron-therapeutics,Biotechnology,USA,MA,Hardwick,D,2009-06-11,2009,"40,000,000"
Aileron Therapeutics,/organization/aileron-therapeutics,Biotechnology,USA,MA,Hardwick,D,2013-01-14,2013,"12,000,000"
Aileron Therapeutics,/organization/aileron-therapeutics,Biotechnology,USA,MA,Hardwick,E,2013-11-18,2013,"30,000,000"
Aileron Therapeutics,/organization/aileron-therapeutics,Biotechnology,USA,MA,Hardwick,E,2014-10-29,2014,"33,000,000"
Aimetis,/organization/aimetis,Software,CAN,ON,Waterloo,A,2010-03-04,2010,"5,000,000"
Aionex,/organization/aionex,Health Care,USA,TN,Goodlettsville,venture,2010-10-21,2010,"250,000"
aioTV Inc.,/organization/aiotv-inc,News,USA,CO,Greenwood Village,A,2011-10-15,2011,"986,842"
aioTV Inc.,/organization/aiotv-inc,News,USA,CO,Greenwood Village,B,2012-11-19,2012,"8,000,000"
Air Ion Devices,/organization/air-ion-devices,Hardware + Software,USA,CA,Martinez,venture,2009-04-17,2009,"500,000"
Air Ion Devices,/organization/air-ion-devices,Hardware + Software,USA,CA,Martinez,C,2013-10-21,2013,"1,880,000"
Air Robotics,/organization/air-robotics,Manufacturing,USA,WV,Charleston,seed,2011-06-10,2011,"125,000"
Air2Web,/organization/air2web,Mobile,USA,GA,Atlanta,venture,2006-09-26,2006,"25,000,000"
Airband Communications Holdings,/organization/airband-communications-holdings,Mobile,USA,TX,Dallas,venture,2008-06-01,2008,"2,500,000"
Airband Communications Holdings,/organization/airband-communications-holdings,Mobile,USA,TX,Dallas,F,2009-02-19,2009,"3,000,000"
Airband Communications Holdings,/organization/airband-communications-holdings,Mobile,USA,TX,Dallas,venture,2010-08-27,2010,"5,649,944"
Airband Communications Holdings,/organization/airband-communications-holdings,Mobile,USA,TX,Dallas,venture,2010-04-08,2010,"3,678,786"
Airband Communications Holdings,/organization/airband-communications-holdings,Mobile,USA,TX,Dallas,venture,2011-08-11,2011,"20,000,000"
Airband Communications Holdings,/organization/airband-communications-holdings,Mobile,USA,TX,Dallas,venture,2012-04-17,2012,"1,000,000"
Airbiquity,/organization/airbiquity,Wireless,USA,WA,Seattle,F,2008-01-01,2008,"25,000,000"
Airbiquity,/organization/airbiquity,Wireless,USA,WA,Seattle,venture,2012-09-13,2012,"10,419,873"
Airbnb,/organization/airbnb,Travel,USA,CA,San Francisco,seed,2009-04-01,2009,"600,000"
Airbnb,/organization/airbnb,Travel,USA,CA,San Francisco,A,2010-11-10,2010,"7,200,000"
Airbnb,/organization/airbnb,Travel,USA,CA,San Francisco,C,2013-10-28,2013,"200,000,000"
Airbnb,/organization/airbnb,Travel,USA,CA,San Francisco,D,2014-04-16,2014,"475,000,000"
Airborne Media Group,/organization/airborne-media-group-2,Advertising,USA,CO,Durango,venture,2012-04-27,2012,"1,498,225"
Airborne Media Group,/organization/airborne-media-group-2,Advertising,USA,CO,Durango,venture,2013-01-04,2013,"2,450,000"
Airborne Mobile,/organization/airborne-mobile,Mobile,CAN,QC,Montréal,B,2009-04-27,2009,"500,000"
Airborne Mobile,/organization/airborne-mobile,Mobile,CAN,QC,Montréal,A,2009-01-12,2009,"2,000,000"
AirCast Mobile,/organization/aircast-mobile,Music,USA,IL,Chicago,seed,2011-05-01,2011,"150,000"
AirCast Mobile,/organization/aircast-mobile,Music,USA,IL,Chicago,seed,2013-11-01,2013,"100,000"
AirCell,/organization/aircell,Messaging,USA,IL,Itasca,D,2010-07-16,2010,"65,108,581"
AirClic,/organization/airclic,Mobile,USA,PA,Feasterville Trevose,A,2000-03-28,2000,"15,000,000"
AirClic,/organization/airclic,Mobile,USA,PA,Feasterville Trevose,C,2007-02-20,2007,"12,500,000"
Aircuity,/organization/aircuity,Clean Technology,USA,MA,Newton,venture,2008-09-30,2008,"6,000,000"
Aircuity,/organization/aircuity,Clean Technology,USA,MA,Newton,venture,2011-02-25,2011,"3,500,000"
Aircuity,/organization/aircuity,Clean Technology,USA,MA,Newton,venture,2013-07-25,2013,"3,000,000"
"Airdog, Inc",/organization/helico-aerospace-industries,Innovation Engineering,USA,CA,Palo Alto,seed,2015-03-19,2015,"2,000,000"
Aires Pharmaceuticals,/organization/aires-pharmaceuticals,Biotechnology,USA,CA,San Diego,B,2010-11-11,2010,"20,000,000"
Aireum,/organization/aireum,Analytics,USA,CA,Palo Alto,venture,2013-06-28,2013,"1,017,026"
Aireum,/organization/aireum,Analytics,USA,CA,Palo Alto,venture,2014-08-01,2014,"2,471,007"
Airex Energy,/organization/airex-energy,Energy Efficiency,CAN,QC,Laval,seed,2014-06-10,2014,"3,000,000"
Airgain,/organization/airgain,Mobile,USA,CA,Carlsbad,venture,2005-07-15,2005,"4,800,000"
Airgain,/organization/airgain,Mobile,USA,CA,Carlsbad,venture,2006-03-23,2006,"4,100,000"
Airgain,/organization/airgain,Mobile,USA,CA,Carlsbad,C,2009-06-22,2009,"1,900,000"
AirHelp,/organization/airhelp,Legal,USA,CA,San Francisco,seed,2014-04-01,2014,"120,000"
AirKast,/organization/airkast,Sports,USA,CA,Cupertino,venture,2011-06-13,2011,"750,000"
AirMedia,/organization/airmedia-2,Content Syndication,USA,CA,Culver City,seed,2014-10-17,2014,"2,000,000"
AirNet Communications,/organization/airnet-communications,Messaging,USA,FL,Melbourne Beach,venture,2005-11-08,2005,"6,000,000"
Airphrame,/organization/airphrame,Sensors,USA,CA,San Francisco,A,2014-07-16,2014,"4,249,998"
Airpowered,/organization/airpowered,Internet,USA,FL,Tavares,venture,2009-02-20,2009,"2,175,000"
AirPR,/organization/airpr,Public Relations,USA,CA,San Francisco,venture,2012-09-25,2012,"1,000,000"
AirPR,/organization/airpr,Public Relations,USA,CA,San Francisco,A,2014-05-05,2014,"4,000,000"
