name,crunchlink,category,country,state,city,round,date,year,money,
22nd Century Group,/organization/22nd-century-group,Biotechnology,USA,NY,Clarence,venture,2014-09-18,2014,"10,000,000"
23andMe,/organization/23andme,Biotechnology,USA,CA,Mountain View,A,2007-05-01,2007,"9,000,000"
23andMe,/organization/23andme,Biotechnology,USA,CA,Mountain View,B,2009-06-18,2009,"12,600,000"
23andMe,/organization/23andme,Biotechnology,USA,CA,Mountain View,C,2010-11-09,2010,"22,000,000"
23andMe,/organization/23andme,Biotechnology,USA,CA,Mountain View,C,2011-01-07,2011,"9,000,000"
23andMe,/organization/23andme,Biotechnology,USA,CA,Mountain View,D,2012-12-21,2012,"57,949,900"
24/7 Card,/organization/24-7-card,Finance,USA,CA,Los Angeles,venture,2011-12-21,2011,"3,452,941"
247 Techies,/organization/247-techies,Hardware + Software,USA,NY,New York,seed,2012-11-05,2012,"600,000"
24Fundraiser.com,/organization/24fundraiser-com,Non Profit,USA,IL,Willowbrook,seed,2014-05-01,2014,"400,000"
24M Technologies,/organization/24m-technologies,Clean Technology,USA,MD,Cambridge,A,2010-08-16,2010,"16,000,000"
250ok,/organization/250ok,Software,USA,IN,Indianapolis,seed,2012-09-01,2012,"200,000"
250ok,/organization/250ok,Software,USA,IN,Indianapolis,angel,2014-03-01,2014,"100,000"
27 Perry,/organization/27-perry,E-Commerce,USA,CO,Boulder,seed,2012-05-17,2012,"118,000"
280 North,/organization/280-north,Software,USA,CA,San Francisco,angel,2008-03-01,2008,"250,000"
28msec,/organization/28msec,Software,USA,CA,Palo Alto,venture,2013-10-28,2013,"5,844,811"
2Catalyze,/organization/2catalyze,Software,CAN,ON,Toronto,venture,2010-08-25,2010,"6,785,876"
2Checkout,/organization/2checkout-com,E-Commerce,USA,OH,Columbus,A,2014-07-16,2014,"60,000,000"
2d2c,/organization/2d2c,Hardware + Software,USA,IL,Lincolnshire,venture,2010-01-21,2010,"1,000,000"
2d2c,/organization/2d2c,Hardware + Software,USA,IL,Lincolnshire,venture,2011-01-18,2011,"1,500,000"
2GO Mobile Solutions,/organization/2go-software-solutions,Software,USA,TX,Plano,angel,2010-04-09,2010,"275,000"
2lemetry,/organization/2lemetry,M2M,USA,CO,Denver,venture,2015-01-09,2015,"4,000,000"
2nd Watch,/organization/2nd-watch,Enterprise Software,USA,WA,Seattle,venture,2011-12-06,2011,"490,000"
2nd Watch,/organization/2nd-watch,Enterprise Software,USA,WA,Seattle,venture,2012-12-27,2012,"4,154,420"
2nd Watch,/organization/2nd-watch,Enterprise Software,USA,WA,Seattle,C,2013-11-05,2013,"23,000,000"
2nd Watch,/organization/2nd-watch,Enterprise Software,USA,WA,Seattle,C,2014-10-14,2014,"10,000,000"
2sms,/organization/2sms,Messaging,USA,IL,Schaumburg,venture,2007-11-01,2007,"939,000"
2U Inc.,/organization/2u,Software,USA,MD,Hyattsville,A,2009-06-21,2009,"10,000,000"
2U Inc.,/organization/2u,Software,USA,MD,Hyattsville,seed,2009-03-25,2009,"2,275,000"
2U Inc.,/organization/2u,Software,USA,MD,Hyattsville,B,2010-02-05,2010,"20,000,000"
2U Inc.,/organization/2u,Software,USA,MD,Hyattsville,C,2011-03-10,2011,"32,500,000"
2U Inc.,/organization/2u,Software,USA,MD,Hyattsville,D,2012-04-02,2012,"26,000,000"
2U Inc.,/organization/2u,Software,USA,MD,Hyattsville,D,2013-10-21,2013,"5,100,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,B,1999-11-01,1999,"20,000,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,C,2000-04-01,2000,"53,500,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,D,2001-10-01,2001,"61,000,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,E,2002-11-15,2002,"27,500,000"
3-V Biosciences,/organization/3-v-biosciences,Biotechnology,USA,CA,Menlo Park,B,2009-07-10,2009,"30,000,000"
3-V Biosciences,/organization/3-v-biosciences,Biotechnology,USA,CA,Menlo Park,venture,2012-01-05,2012,"20,000,000"
3-V Biosciences,/organization/3-v-biosciences,Biotechnology,USA,CA,Menlo Park,venture,2012-10-01,2012,"8,089,000"
